id,type,color
1,banana,yellow
2,banana,yellow
3,apple,yellow
4,apple,yellow
5,cherry,red
6,banana,yellow
7,apple,red
8,apple,yellow
9,apple,red
10,banana,green
11,apple,yellow
12,apple,red
13,cherry,red
14,banana,green
15,apple,red
16,cherry,purple
17,apple,green
18,apple,green
19,banana,yellow
20,banana,yellow
21,cherry,purple
22,apple,green
23,cherry,purple
24,banana,yellow
25,apple,red
26,cherry,red
27,cherry,red
28,apple,green
29,banana,green
30,apple,green
31,apple,green
32,banana,yellow
33,banana,yellow
34,banana,yellow
35,apple,green
36,apple,yellow
37,banana,yellow
38,banana,yellow
39,apple,red
40,cherry,purple
41,apple,red
42,cherry,purple
43,apple,green
44,apple,yellow
45,banana,green
46,apple,yellow
47,banana,green
48,banana,green
49,cherry,purple
50,apple,red
51,banana,yellow
52,cherry,red
53,apple,red
54,cherry,purple
55,banana,green
56,apple,green
57,banana,yellow
58,banana,yellow
59,banana,green
60,cherry,purple
61,apple,green
62,apple,red
63,cherry,purple
64,cherry,red
65,banana,yellow
66,cherry,purple
67,cherry,red
68,apple,red
69,banana,yellow
70,banana,green
71,apple,green
72,cherry,purple
73,apple,red
74,cherry,red
75,apple,green
76,cherry,red
77,apple,green
78,cherry,red
79,apple,yellow
80,banana,yellow
81,cherry,red
82,banana,green
83,cherry,purple
84,banana,green
85,apple,red
86,apple,red
87,banana,yellow
88,banana,yellow
89,apple,yellow
90,apple,red
91,cherry,purple
92,apple,red
93,apple,green
94,apple,red
95,banana,green
96,apple,green
97,cherry,red
98,apple,yellow
99,banana,green
100,banana,yellow
101,banana,yellow
102,apple,yellow
103,apple,red
104,apple,red
105,banana,yellow
106,banana,green
107,banana,yellow
108,banana,yellow
109,apple,yellow
110,cherry,red
111,cherry,red
112,apple,green
113,banana,green
114,cherry,red
115,apple,green
116,apple,green
117,apple,yellow
118,cherry,purple
119,apple,green
120,apple,red
121,banana,yellow
122,banana,yellow
123,apple,green
124,banana,yellow
125,apple,yellow
126,apple,red
127,apple,red
128,banana,yellow
129,banana,yellow
130,banana,yellow
131,banana,green
132,banana,green
133,cherry,red
134,banana,green
135,apple,green
136,apple,yellow
137,apple,green
138,cherry,red
139,apple,yellow
140,cherry,red
141,apple,red
142,banana,yellow
143,cherry,red
144,cherry,purple
145,apple,green
146,cherry,purple
147,banana,yellow
148,banana,green
149,cherry,red
150,cherry,red
151,apple,red
152,banana,yellow
153,apple,yellow
154,apple,green
155,apple,yellow
156,cherry,purple
157,apple,red
158,apple,green
159,cherry,red
160,apple,red
161,banana,green
162,apple,green
163,banana,green
164,banana,yellow
165,apple,yellow
166,cherry,red
167,cherry,red
168,banana,yellow
169,apple,red
170,cherry,red
171,banana,yellow
172,apple,yellow
173,cherry,purple
174,cherry,red
175,cherry,red
176,cherry,red
177,cherry,red
178,apple,green
179,cherry,purple
180,cherry,red
181,apple,yellow
182,apple,red
183,cherry,red
184,apple,green
185,apple,red
186,apple,yellow
187,apple,green
188,apple,red
189,cherry,purple
190,apple,yellow
191,apple,yellow
192,apple,red
193,apple,green
194,apple,green
195,apple,yellow
196,banana,green
197,banana,yellow
198,apple,yellow
199,apple,red
200,banana,yellow
201,banana,yellow
202,apple,red
203,cherry,purple
204,banana,yellow
205,banana,green
206,banana,green
207,apple,yellow
208,apple,red
209,apple,yellow
210,cherry,red
211,banana,green
212,banana,yellow
213,apple,red
214,banana,green
215,banana,green
216,banana,green
217,cherry,red
218,banana,green
219,banana,green
220,apple,red
221,banana,yellow
222,cherry,red
223,apple,red
224,cherry,red
225,banana,yellow
226,banana,green
227,banana,yellow
228,apple,yellow
229,apple,red
230,cherry,red
231,apple,yellow
232,banana,yellow
233,banana,yellow
234,banana,green
235,banana,green
236,cherry,purple
237,banana,green
238,cherry,purple
239,cherry,purple
240,banana,yellow
241,cherry,purple
242,cherry,purple
243,banana,green
244,banana,green
245,apple,green
246,apple,yellow
247,apple,red
248,apple,yellow
249,apple,red
250,apple,green
251,apple,green
252,banana,yellow
253,cherry,purple
254,cherry,red
255,cherry,purple
256,banana,green
257,apple,green
258,cherry,purple
259,banana,yellow
260,banana,green
261,banana,yellow
262,apple,yellow
263,banana,green
264,banana,green
265,cherry,red
266,cherry,red
267,apple,green
268,apple,green
269,apple,green
270,apple,red
271,banana,green
272,cherry,purple
273,apple,green
274,apple,red
275,banana,yellow
276,cherry,purple
277,apple,red
278,cherry,red
279,cherry,red
280,apple,red
281,banana,yellow
282,apple,yellow
283,apple,red
284,banana,green
285,cherry,red
286,banana,yellow
287,cherry,red
288,cherry,red
289,banana,green
290,banana,green
291,apple,yellow
292,apple,yellow
293,banana,yellow
294,apple,green
295,cherry,red
296,cherry,red
297,apple,green
298,banana,yellow
299,banana,green
300,apple,green
301,cherry,red
302,banana,green
303,banana,green
304,banana,green
305,apple,yellow
306,cherry,purple
307,banana,green
308,banana,green
309,apple,red
310,cherry,red
311,apple,green
312,apple,green
313,banana,green
314,apple,green
315,cherry,red
316,banana,green
317,cherry,purple
318,apple,yellow
319,banana,green
320,banana,yellow
321,apple,yellow
322,banana,yellow
323,banana,green
324,banana,yellow
325,apple,red
326,banana,yellow
327,apple,yellow
328,apple,yellow
329,banana,green
330,cherry,purple
331,apple,green
332,apple,green
333,apple,yellow
334,apple,red
335,banana,yellow
336,apple,yellow
337,banana,green
338,cherry,red
339,apple,green
340,apple,red
341,banana,yellow
